x,T
0,100
0.357143,107.143
0.714286,114.286
1.07143,121.429
1.42857,128.571
1.78571,135.714
2.14286,142.857
2.5,150
2.85714,157.143
3.21429,164.286
3.57143,171.429
3.92857,178.571
4.28571,185.714
4.64286,192.857
5,200
